Time,microgrid_1_bus_0,microgrid_1_bus_1,microgrid_1_bus_2,microgrid_1_bus_3,microgrid_1_bus_4,microgrid_1_bus_5,microgrid_4_bus_0
2013-01-01 00:00:00,9.290520227656716,1.0110272012449955,0.3074069192974649,1.1066649094708734,0.4508634816362818,0.4440322167630048,0.24945767924914525
2013-01-01 01:00:00,10.309377387439337,1.1219028333389864,0.34111910473144863,1.228028777033215,0.5003080202727913,0.49272759572320357,0.27681478480811494
2013-01-01 02:00:00,7.233140292612659,0.7871358553725539,0.23933184791733061,0.8615946525023902,0.35102004361208494,0.3457015581028109,0.19421543109149864
2013-01-01 03:00:00,8.259328439161953,0.8988092713205653,0.2732866027663881,0.9838317699589972,0.40082035072403593,0.39474731510700506,0.22176937933533505
2013-01-01 04:00:00,6.702676032341746,0.7294088623430722,0.22177972165836657,0.7984069979701196,0.3252769250989377,0.32034848683986283,0.17997205396630045
2013-01-01 05:00:00,5.743159260137688,0.6249908606620425,0.19003100493102643,0.684111617751695,0.2787121405655054,0.27448922934481595,0.15420828387276858
2013-01-01 06:00:00,5.911416150665773,0.6433011693371576,0.19559832851467632,0.7041539826528347,0.28687754848819197,0.2825309189656436,0.15872611198145356
2013-01-01 07:00:00,13.475751999217392,1.4664788940324807,0.44588885291528135,1.6051998704950128,0.6539703176090793,0.6440616764331841,0.3618344008180132
2013-01-01 08:00:00,18.35706919564553,1.997681059526131,0.6074030248559182,2.1866508894813057,0.8908577697886801,0.877359924791882,0.49290155633369903
2013-01-01 09:00:00,17.786066715187605,1.9355425542998272,0.5885095604290016,2.1186344175444054,0.8631473552958691,0.8500693650641135,0.47756969653143405
2013-01-01 10:00:00,13.118791633502308,1.427633207175251,0.4340776643438264,1.562679591637775,0.636647241037612,0.6270010707188604,0.35224973793227615
2013-01-01 11:00:00,15.50590814835378,1.6874076514384995,0.5130631372617059,1.8470272941421415,0.7524926013171688,0.7410911982669086,0.41634566919342053
2013-01-01 12:00:00,12.727762818821503,1.385080071459987,0.42113921091688794,1.5161011593007965,0.6176708426781023,0.6083121935466159,0.3417503107484853
2013-01-01 13:00:00,7.031694044016387,0.7652137636135479,0.23266634704465985,0.8375988493607754,0.34124397566550113,0.336073612397842,0.18880644295769342
2013-01-01 14:00:00,7.7629225964353905,0.8447886354944394,0.2568614094408769,0.9247010739871567,0.3767300671799528,0.37102203585904436,0.20844049715674065
2013-01-01 15:00:00,13.398901350159388,1.4581157351644038,0.44334600055674445,1.59604560200428,0.6502408008165586,0.6403886674708531,0.3597709012406989
2013-01-01 16:00:00,20.560313325795324,2.237445861924785,0.6803044850446982,2.4490961461609135,0.9977799113988908,0.982662033953453,0.5520603713471286
2013-01-01 17:00:00,30.72091862231571,3.3431587912520038,1.0165009838266228,3.6594035417758417,1.4908681096123801,1.4682791988606774,0.8248805100398188
2013-01-01 18:00:00,32.696705113346184,3.5581708505700256,1.0818762721327781,3.894754579678001,1.5867518657947413,1.5627101708584572,0.8779319108943205
2013-01-01 19:00:00,30.97337095939281,3.370631545580982,1.0248541861563798,3.689475070162967,1.503119473029357,1.480344935559215,0.8316590512393529
2013-01-01 20:00:00,18.22280633435186,1.9830701010912313,0.6029605037101717,2.170657813356618,0.8843420721082519,0.8709429498035814,0.4892964942955189
2013-01-01 21:00:00,14.485536994798744,1.5763672611986868,0.4793008564455467,1.725483083203968,0.7029745894534686,0.6923234593102341,0.38894791172652643
